Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,2694982.67,133524.81,407049.30,1106,0,523,0,2162,0,274,0,24,0.8504029508357883,2484
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11360375.17,346252.10,138470.00,4248,0,1491,0,8517,0,1519,0,50,0.9332894839996091,13908
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1789009.63,31899.48,8790.00,502,0,613,0,1003,0,118,0,8,0.5976942735288338,936
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3858143.70,2907284.08,3053376.00,2553,0,1344,0,5248,0,1170,0,27,0.9501035266954827,9048
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,1504058.93,561516.92,1095729.00,539,0,147,0,1106,0,353,0,28,0.45252193347304964,3744
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1621415.45,382587.43,809830.00,521,0,168,0,1255,0,140,0,6,0.9708396781736702,1632
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1072181.23,947999.04,322112.67,773,0,272,0,1598,0,306,0,24,0.8918001566593895,2904
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1386929.41,725050.00,404344.13,648,0,245,0,1409,0,296,0,19,0.9157095213988284,2616
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,779400.63,288022.87,268304.58,446,0,264,0,874,0,176,0,17,0.8399189378070915,1548
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,6309133.11,0.00,0,2748,0,1287,0,5676,0,1191,35,0.9745958293651812,10680
